name,price,bedroom,bathroom,available_unit,square,crime_rate,brand_new,google_star,neighborhood,zip_code,Score,comment,liked,visited
Andover at Crabtree,1282,2,2.0,1,1025.0,UnKnown,False,4.0,Raleigh,27613,0.591017316017316,"Good Rating, No Fireplace, (ASK: Are they showing renovated houses but give old ones?)",True,False
Midtown Crossing,1329,2,2.0,20,908.0,UnKnown,False,3.8,Raleigh,27609,0.5119114219114218,"Good Rating, No Fireplace, Might be Dangerous Neighborhood (ASK: Are they showing renovated houses but give old ones, also ask about laundry for B1 house?)",True,False
The Domain Apartments,1250,2,2.0,1,1149.0,UnKnown,False,3.6,Raleigh,27616,0.6058824508824509,"Good Rating, Fireplace (ASK: *Are they showing renovated houses but give old ones, also ask about laundry for 2 Bedroom, 2 Bath apartment and fireplace?)",True,False
Woodlyn on the Green Apartment Homes,1319,2,2.0,8,1104.0,UnKnown,False,3.3,Cary,27511,0.4892840492840491,"Good Rating, Fireplace (ASK: *Are they showing renovated houses but give old ones, also ask about laundry for 2 Bedroom, 2 Bath apartment and fireplace?)",True,False
Rose Heights Apartments,1333,2,2.0,1,996.0,UnKnown,False,2.9,Raleigh,27613,0.44096237096237084,"Good Rating, No Fireplace, No Balcony for B1 (ASK: *Are they showing renovated houses but give old ones, also ask about laundry for B1 and balcony?)",True,False
Aurella Cary,1300,2,2.0,4,950.0,UnKnown,False,2.7,Cary,27511,0.47174658674658676,"Good Rating,  Fireplace, Balcony for The Laurel (ASK: *Are they showing renovated houses but give old ones, also ask about fireplace, balcony for the laurel with price $1300?)",True,False
Legacy Six Forks,1275,2,2.0,2,987.0,UnKnown,False,2.7,Raleigh,27609,0.506087246087246,"Good Rating,  Fireplace, Balcony The B12DP - The Magnolia (ASK: *Are they showing renovated houses but give old ones, also ask about fireplace, balcony for the laurel with price $1275?)",True,False
